# submitted_id	current_id	converted_id	current_symbol
tsh[8]	FBal0032945	FBgn0003866	tsh
l(3)E22[1]	FBal0086513	FBgn0024214	l(3)E22
dlg1[18]	FBal0002687	FBgn0001624	dlg1
brm[19]	FBal0039178	FBgn0000212	brm
elr[1]	FBal0003673	FBgn0000573	elr
l(1)3Bd[7]	FBal0007003	FBgn0001409	l(1)3Bd
btl[dev2]	FBal0002371	FBgn0005592	btl
CG6379[EY08403]	FBal0161158	FBgn0029693	CG6379
Mhc[Ifm(2)RU1-2]	FBal0217344	FBgn0264695	Mhc
Pof[D31A]	FBal0182223	FBgn0035047	Pof
hyd[14]	FBal0010245	FBgn0002431	hyd
LanB1[28a]	FBal0242985	FBgn0261800	LanB1
Dl[4585]	FBal0191398	FBgn0000463	Dl
l(3)SG66[1]	FBal0011245	FBgn0002505	l(3)SG66
CG5359[e03976]	FBal0161288	FBgn0037773	CG5359
fkh[6]	FBal0004012	FBgn0000659	fkh
bsh[1]	FBal0284935	FBgn0000529	bsh
stg[S114302b]	FBal0082210	FBgn0003525	stg
B[263-47]	FBal0000835	FBgn0000154	B
Hmgcr[04684]	FBal0009515	FBgn0263782	Hmgcr
neur[neo37]	FBal0011050	FBgn0002932	neur
ras[l3]	FBal0014413	FBgn0003204	ras
mle[11]	FBal0012344	FBgn0002774	mle
l(2)SH2293[SH2293]	FBal0143438	FBgn0065201	l(2)SH2293
RabX1[k06908]	FBal0042908	FBgn0015372	RabX1
Pgd[n11]	FBal0013687	FBgn0004654	Pgd
l(2)39ADa[B819]	FBal0049771	FBgn0016863	l(2)39ADa
arm[13-17]	FBal0000719	FBgn0000117	arm
vari[38EFa2]	FBal0091364	FBgn0250785	vari
l(3)82Fg[1]	FBal0031894	FBgn0013579	l(3)82Fg
chic[sand-2]	FBal0032640	FBgn0000308	chic
Sxl[M3]	FBal0016709	FBgn0264270	Sxl
pyx[Df4]	FBal0178275	FBgn0035113	pyx
Abd-B[S11]	FBal0033321	FBgn0000015	Abd-B
l(2)gl[a15]	FBal0216822	FBgn0002121	l(2)gl
CG2111[f07993]	FBal0161943	FBgn0030223	CG2111
Ptp69D[6]	FBal0152274	FBgn0014007	Ptp69D
l(1)14ABa[D73]	FBal0043186	FBgn0015410	l(1)14ABa
Scim24[1]	FBal0123073	FBgn0044403	Scim24
san[3]	FBal0240211	FBgn0024188	san
mnd[26]	FBal0012391	FBgn0002778	mnd
spz3[EY06670]	FBal0159734	FBgn0031959	spz3
l(3)S144301b[S144301b]	FBal0129300	FBgn0060339	l(3)S144301b
l(3)77CDh[Y4]	FBal0102551	FBgn0029017	l(3)77CDh
ptc[G20]	FBal0032507	FBgn0003892	ptc
mars[102]	FBal0246632	FBgn0033845	mars
ct[D38.1]	FBal0028057	FBgn0004198	ct
Mlf[Delta5-3]	FBal0213087	FBgn0034051	Mlf
brat[21]	FBal0001246	FBgn0010300	brat
Mmp2[k00613]	FBal0064767	FBgn0033438	Mmp2
Itp-r83A[05616]	FBal0009542	FBgn0010051	Itp-r83A
para[sbl-5]	FBal0028470	FBgn0264255	para
Nrx-IV[4025]	FBal0058469	FBgn0013997	Nrx-IV
l(2)SH0062[SH0062]	FBal0144192	FBgn0065955	l(2)SH0062
CG8520[EY09481]	FBal0160912	FBgn0033734	CG8520
spir[2L-75-28]	FBal0154490	FBgn0003475	spir
Bsg[k04604]	FBal0064130	FBgn0261822	Bsg
l(3)S016704b[S016704b]	FBal0130045	FBgn0061073	l(3)S016704b
TfAP-2[17]	FBal0123335	FBgn0261953	TfAP-2
CG30007[GD9963]	FBal0202407	FBgn0050007	CG30007
l(3)97De[2.1]	FBal0031973	FBgn0013589	l(3)97De
l(2)22Ai[M16]	FBal0103700	FBgn0040130	l(2)22Ai
Dcr-2[R269W]	FBal0264052	FBgn0034246	Dcr-2
Egfr[eEM2]	FBal0058975	FBgn0003731	Egfr
l(3)S096512[S096512]	FBal0129536	FBgn0060566	l(3)S096512
Gpdh[nSP14]	FBal0005192	FBgn0001128	Gpdh
faf[BX4]	FBal0028189	FBgn0005632	faf
Gen[Z4325]	FBal0154853	FBgn0263831	Gen
pnr[VP8]	FBal0032464	FBgn0003117	pnr
DAT[fmn]	FBal0197506	FBgn0034136	DAT
zip[3]	FBal0263483	FBgn0265434	zip
Rh4[W25]	FBal0181951	FBgn0003250	Rh4
l(1)8Ae[3-76]	FBal0043272	FBgn0015447	l(1)8Ae
