#SUBMITTED ID	FBID_KEY	CLASSICAL_ALLELES	GENE_MODEL_STATUS	SPECIES	SYMBOL
064Ya	FBgn0043467	064Ya[064Ya]	Unannotated	melanogaster	064Ya
1.1.3	FBgn0084807	1.1.3[1.1.3]	Unannotated	melanogaster	1.1.3
106y	FBgn0067637	106y[106y]	Unannotated	melanogaster	106y
11.158	FBgn0265553	11.158[11.158]	Unannotated	melanogaster	11.158
12.167	FBgn0265557	12.167[12.167]	Unannotated	melanogaster	12.167
12.19	FBgn0265554	12.19[12.19]	Unannotated	melanogaster	12.19
12.82	FBgn0265555	12.82[12.82]	Unannotated	melanogaster	12.82
12.95	FBgn0265556	12.95[12.95]	Unannotated	melanogaster	12.95
128up	FBgn0010339	-	Current	melanogaster	128up
14-3-3epsilon	FBgn0020238	14-3-3epsilon[G00082] <newline> 14-3-3epsilon[CA06506] <newline> 14-3-3epsilon[Delta24] <newline> 14-3-3epsilon[18A2] <newline> 14-3-3epsilon[EP3423] <newline> 14-3-3epsilon[EP3578] <newline> 14-3-3epsilon[PL00784] <newline> 14-3-3epsilon[S-1259] <newline> 14-3-3epsilon[S-696] <newline> 14-3-3epsilon[c06705] <newline> 14-3-3epsilon[c06714] <newline> 14-3-3epsilon[e00326] <newline> 14-3-3epsilon[e03838] <newline> 14-3-3epsilon[ex4] <newline> 14-3-3epsilon[f05080] <newline> 14-3-3epsilon[j2B10] <newline> 14-3-3epsilon[unspecified] <newline> 14-3-3epsilon[CPTI100034] <newline> 14-3-3epsilon[CPTI100026] <newline> 14-3-3epsilon[CPTI100045] <newline> 14-3-3epsilon[CPTI100065] <newline> 14-3-3epsilon[ex5] <newline> 14-3-3epsilon[EP3-732] <newline> 14-3-3epsilon[UM-8256-3] <newline> 14-3-3epsilon[c02239b] <newline> 14-3-3epsilon[NP1301] <newline> 14-3-3epsilon[5-HA-1828] <newline> 14-3-3epsilon[LL03779] <newline> 14-3-3epsilon[LL04466]	Current	melanogaster	14-3-3epsilon
14-3-3zeta	FBgn0004907	14-3-3zeta[07103] <newline> 14-3-3zeta[12BL] <newline> 14-3-3zeta[2.3] <newline> 14-3-3zeta[5-11] <newline> 14-3-3zeta[5.9] <newline> 14-3-3zeta[7B] <newline> 14-3-3zeta[7BL] <newline> 14-3-3zeta[9.8] <newline> 14-3-3zeta[E16] <newline> 14-3-3zeta[E73] <newline> 14-3-3zeta[EY03325] <newline> 14-3-3zeta[EY06147] <newline> 14-3-3zeta[GS-A2789] <newline> 14-3-3zeta[KG02642] <newline> 14-3-3zeta[P1.3H] <newline> 14-3-3zeta[P1188] <newline> 14-3-3zeta[P1375] <newline> 14-3-3zeta[P2335] <newline> 14-3-3zeta[P2355] <newline> 14-3-3zeta[R1] <newline> 14-3-3zeta[R2] <newline> 14-3-3zeta[X1] <newline> 14-3-3zeta[unspecified] <newline> 14-3-3zeta[12X] <newline> 14-3-3zeta[G7590] <newline> 14-3-3zeta[CB-5683-3] <newline> 14-3-3zeta[NP0863] <newline> 14-3-3zeta[NP3716] <newline> 14-3-3zeta[NP7346] <newline> 14-3-3zeta[5-SZ-3096] <newline> 14-3-3zeta[5-SZ-3581]	Current	melanogaster	14-3-3zeta
140up	FBgn0010340	140up[M13] <newline> 140up[Z29] <newline> 140up[Z30] <newline> 140up[Z6] <newline> 140up[f07279] <newline> 140up[MB05907]	Current	melanogaster	140up
144Y	FBgn0266130	144Y[144Y]	Unannotated	melanogaster	144Y
146y	FBgn0067636	146y[146y]	Unannotated	melanogaster	146y
161Y	FBgn0266131	161Y[161Y]	Unannotated	melanogaster	161Y
18.94	FBgn0265558	18.94[18.94]	Unannotated	melanogaster	18.94
188y	FBgn0067635	188y[188y]	Unannotated	melanogaster	188y
18SrRNA	FBgn0061475	18SrRNA[PL00621]	Not Applicable	melanogaster	18SrRNA
18w	FBgn0004364	18w[Delta1-11] <newline> 18w[Delta1-12] <newline> 18w[Delta1-14] <newline> 18w[Delta1-15] <newline> 18w[Delta1-24] <newline> 18w[Delta1-82] <newline> 18w[Delta2-62] <newline> 18w[Delta2-63] <newline> 18w[Delta6-81] <newline> 18w[Delta7-35] <newline> 18w[Delta7-43] <newline> 18w[00053] <newline> 18w[k02701] <newline> 18w[unspecified] <newline> 18w[Delta21] <newline> 18w[Delta72] <newline> 18w[Delta76] <newline> 18w[03F247]	Current	melanogaster	18w
194-26	FBgn0069070	194-26[194-26]	Unannotated	melanogaster	194-26
19w	FBgn0022715	19w[1]	Unannotated	melanogaster	19w
02-Oct - unknown ID - please use IDConverter
2.1.72	FBgn0084274	2.1.72[2.1.72]	Unannotated	melanogaster	2.1.72
2.14.98	FBgn0084303	2.14.98[2.14.98]	Unannotated	melanogaster	2.14.98
2.15.43a	FBgn0085107	2.15.43a[2.15.43a]	Unannotated	melanogaster	2.15.43a
2.15.50	FBgn0084644	2.15.50[2.15.50]	Unannotated	melanogaster	2.15.50
